"ID","B64 ID","STATE","CITY","NAME","NUM RATINGS","AVG RATINGS","TYPENAME","URL"
"146","U2Nob29sLTE0Ng==","CA","Santa Ana","California Coast University","3","4.6","School","https://www.ratemyprofessors.com/school?sid=146"
"147","U2Nob29sLTE0Nw==","CA","National City","Independence University -- CCHS","1","1.22","School","https://www.ratemyprofessors.com/school?sid=147"
"148","U2Nob29sLTE0OA==","CA","Pasadena","California Institute of Technology","19","3.88","School","https://www.ratemyprofessors.com/school?sid=148"
"149","U2Nob29sLTE0OQ==","CA","Valencia","California Institute of the Arts","22","3.18636","School","https://www.ratemyprofessors.com/school?sid=149"
"150","U2Nob29sLTE1MA==","CA","Thousand Oaks","California Lutheran University","161","3.88","School","https://www.ratemyprofessors.com/school?sid=150"
"151","U2Nob29sLTE1MQ==","CA","Vallejo","California Maritime Academy","33","2.82","School","https://www.ratemyprofessors.com/school?sid=151"
"152","U2Nob29sLTE1Mg==","CA","San Diego","California Pacific University","0","0","School","https://www.ratemyprofessors.com/school?sid=152"
"153","U2Nob29sLTE1Mw==","CA","San Luis Obispo","California Polytechnic State University","99","4.01842","School","https://www.ratemyprofessors.com/school?sid=153"
"155","U2Nob29sLTE1NQ==","CA","San Marcos","California State University San Marcos","337","3.67","School","https://www.ratemyprofessors.com/school?sid=155"
"156","U2Nob29sLTE1Ng==","CA","Turlock","California State University Stanislaus","248","3.48166","School","https://www.ratemyprofessors.com/school?sid=156"
"157","U2Nob29sLTE1Nw==","","","California State University Los Angeles","450","3.23","School","https://www.ratemyprofessors.com/school?sid=157"
"158","U2Nob29sLTE1OA==","CA","Bakersfield","California State University Bakersfield (CSUB)","188","3.15641","School","https://www.ratemyprofessors.com/school?sid=158"
"159","U2Nob29sLTE1OQ==","","","California State University Chico","346","3.9072","School","https://www.ratemyprofessors.com/school?sid=159"
"160","U2Nob29sLTE2MA==","","","California State University Dominguez Hills","262","3.75","School","https://www.ratemyprofessors.com/school?sid=160"
"161","U2Nob29sLTE2MQ==","CA","Fresno","California State University Fresno","452","3.53","School","https://www.ratemyprofessors.com/school?sid=161"
"162","U2Nob29sLTE2Mg==","","","California State University Long Beach","618","3.90136","School","https://www.ratemyprofessors.com/school?sid=162"
"163","U2Nob29sLTE2Mw==","","","California State University - Northridge","636","3.79391","School","https://www.ratemyprofessors.com/school?sid=163"
"164","U2Nob29sLTE2NA==","","","California State University - Sacramento","487","3.61","School","https://www.ratemyprofessors.com/school?sid=164"
"165","U2Nob29sLTE2NQ==","CA","San Bernardino","California State University - San Bernardino","328","3.67","School","https://www.ratemyprofessors.com/school?sid=165"
"166","U2Nob29sLTE2Ng==","","","California State University Fullerton","594","3.71","School","https://www.ratemyprofessors.com/school?sid=166"
"167","U2Nob29sLTE2Nw==","CA","Hayward","California State University -  East Bay","267","3.41","School","https://www.ratemyprofessors.com/school?sid=167"
"168","U2Nob29sLTE2OA==","CA","Seaside","California State University Monterey Bay","197","3.47","School","https://www.ratemyprofessors.com/school?sid=168"
"169","U2Nob29sLTE2OQ==","PA","California","California University of Pennsylvania","192","3.49","School","https://www.ratemyprofessors.com/school?sid=169"
"170","U2Nob29sLTE3MA==","IN","Whiting","Calumet College of St. Joseph","7","3.71429","School","https://www.ratemyprofessors.com/school?sid=170"
"171","U2Nob29sLTE3MQ==","MI","Grand Rapids","Calvin University","185","3.97942","School","https://www.ratemyprofessors.com/school?sid=171"
"172","U2Nob29sLTE3Mg==","OK","Lawton","Cameron University","105","3.31","School","https://www.ratemyprofessors.com/school?sid=172"
"173","U2Nob29sLTE3Mw==","","","Campbell University","161","3.46","School","https://www.ratemyprofessors.com/school?sid=173"
"174","U2Nob29sLTE3NA==","KY","Campbellsville","Campbellsville University","32","3.31521","School","https://www.ratemyprofessors.com/school?sid=174"
"175","U2Nob29sLTE3NQ==","NY","Buffalo","Canisius College","114","3.67","School","https://www.ratemyprofessors.com/school?sid=175"
"176","U2Nob29sLTE3Ng==","","","Capital University","76","3.74649","School","https://www.ratemyprofessors.com/school?sid=176"
"177","U2Nob29sLTE3Nw==","MD","Laurel","Capitol Technology University","23","3.29","School","https://www.ratemyprofessors.com/school?sid=177"
"178","U2Nob29sLTE3OA==","WI","Milwaukee","Cardinal Stritch University","31","3.42143","School","https://www.ratemyprofessors.com/school?sid=178"
"179","U2Nob29sLTE3OQ==","MN","Northfield","Carleton College","132","4.32","School","https://www.ratemyprofessors.com/school?sid=179"
"180","U2Nob29sLTE4MA==","PA","Pittsburgh","Carlow University","57","3.65","School","https://www.ratemyprofessors.com/school?sid=180"
"181","U2Nob29sLTE4MQ==","PA","Pittsburgh","Carnegie Mellon University","135","4.04","School","https://www.ratemyprofessors.com/school?sid=181"
"182","U2Nob29sLTE4Mg==","WI","Waukesha","Carroll University","103","3.3","School","https://www.ratemyprofessors.com/school?sid=182"
"183","U2Nob29sLTE4Mw==","MT","Helena","Carroll College","46","3.48","School","https://www.ratemyprofessors.com/school?sid=183"
"184","U2Nob29sLTE4NA==","TN","Jefferson City","Carson-Newman University","63","3.56","School","https://www.ratemyprofessors.com/school?sid=184"
"185","U2Nob29sLTE4NQ==","WI","Kenosha","Carthage College","113","3.54","School","https://www.ratemyprofessors.com/school?sid=185"
"186","U2Nob29sLTE4Ng==","","","Case Western Reserve University","280","3.75","School","https://www.ratemyprofessors.com/school?sid=186"
"187","U2Nob29sLTE4Nw==","VT","Castleton","Castleton University","45","3.6","School","https://www.ratemyprofessors.com/school?sid=187"
"188","U2Nob29sLTE4OA==","NC","Salisbury","Catawba College","41","2.90657","School","https://www.ratemyprofessors.com/school?sid=188"
"189","U2Nob29sLTE4OQ==","DC","Washington","The Catholic University of America","163","3.69","School","https://www.ratemyprofessors.com/school?sid=189"
"190","U2Nob29sLTE5MA==","NY","Cazenovia","Cazenovia College","31","2.99","School","https://www.ratemyprofessors.com/school?sid=190"
"191","U2Nob29sLTE5MQ==","PA","Allentown","Cedar Crest College","49","3.45","School","https://www.ratemyprofessors.com/school?sid=191"
"192","U2Nob29sLTE5Mg==","OH","Cedarville","Cedarville University","165","3.96","School","https://www.ratemyprofessors.com/school?sid=192"
"193","U2Nob29sLTE5Mw==","LA","Shreveport","Centenary College of Louisiana","25","3.44","School","https://www.ratemyprofessors.com/school?sid=193"
"195","U2Nob29sLTE5NQ==","AR","Conway","Central Baptist College","1","4.44","School","https://www.ratemyprofessors.com/school?sid=195"
"196","U2Nob29sLTE5Ng==","MO","Springfield","Central Bible College","4","3.31","School","https://www.ratemyprofessors.com/school?sid=196"
"197","U2Nob29sLTE5Nw==","IA","Pella","Central College","34","3.70187","School","https://www.ratemyprofessors.com/school?sid=197"
"198","U2Nob29sLTE5OA==","","","Central Connecticut State University","309","3.3","School","https://www.ratemyprofessors.com/school?sid=198"
"199","U2Nob29sLTE5OQ==","MO","Fayette","Central Methodist University","14","3.8","School","https://www.ratemyprofessors.com/school?sid=199"
"200","U2Nob29sLTIwMA==","","","Central Michigan University","677","3.91","School","https://www.ratemyprofessors.com/school?sid=200"
